"ccaa" "prov" "sexo" "edad" "nacio" "educ" "situa" "rentah" "factorele" "provsex" "edad2" "edad3" "edad4" "edad5" "edu1" "edu2" "edu3" "nacio1" "situ1" "situ2" "situ3" "uchogar" "rentanorm" "pobre" "dom"
"121" 1 4 2 0 1 0 0 34616.207 3152.7292 42 0 0 0 0 0 0 0 1 0 0 0 1.8 19231.227 0 8
"122" 1 4 1 3 1 3 1 34616.207 3152.7292 41 0 1 0 0 0 0 1 1 1 0 0 1.8 19231.227 0 7
"123" 1 4 1 4 1 2 1 27960 1763.90077 41 0 0 1 0 0 1 0 1 1 0 0 2.5 11184 0 7
"124" 1 4 2 3 1 2 1 27960 1763.90077 42 0 1 0 0 0 1 0 1 1 0 0 2.5 11184 0 8
"125" 1 4 2 2 1 2 3 27960 1763.90077 42 1 0 0 0 0 1 0 1 0 0 1 2.5 11184 0 8
"126" 1 4 1 2 1 2 3 27960 1763.90077 41 1 0 0 0 0 1 0 1 0 0 1 2.5 11184 0 7
"127" 1 4 1 5 1 1 3 7560 1573.16757 41 0 0 0 1 1 0 0 1 0 0 1 1.5 5040 1 7
"128" 1 4 2 5 1 1 3 7560 1573.16757 42 0 0 0 1 1 0 0 1 0 0 1 1.5 5040 1 8
"129" 1 4 1 3 0 2 1 22026 2690.2148 41 0 1 0 0 0 1 0 0 1 0 0 1.8 12236.667 0 7
"130" 1 4 2 3 1 2 1 22026 2690.2148 42 0 1 0 0 0 1 0 1 1 0 0 1.8 12236.667 0 8
"131" 1 4 2 0 1 0 0 22026 2690.2148 42 0 0 0 0 0 0 0 1 0 0 0 1.8 12236.667 0 8
"132" 1 4 1 3 1 1 1 15582 2266.54006 41 0 1 0 0 1 0 0 1 1 0 0 2 7791 0 7
"133" 1 4 2 3 1 2 3 15582 2266.54006 42 0 1 0 0 0 1 0 1 0 0 1 2 7791 0 8
"134" 1 4 1 2 1 2 3 15582 2266.54006 41 1 0 0 0 0 1 0 1 0 0 1 2 7791 0 7
"135" 1 4 1 5 1 2 3 11572 1912.48416 41 0 0 0 1 0 1 0 1 0 0 1 1.5 7714.667 0 7
"136" 1 4 2 5 1 2 3 11572 1912.48416 42 0 0 0 1 0 1 0 1 0 0 1 1.5 7714.667 0 8
"137" 1 4 1 3 1 2 1 15935 1902.96448 41 0 1 0 0 0 1 0 1 1 0 0 2.3 6928.261 0 7
"138" 1 4 2 3 1 2 1 15935 1902.96448 42 0 1 0 0 0 1 0 1 1 0 0 2.3 6928.261 0 8
